,LSOA21CD,imd25_rank,led25_rank,imd19_score,led19_score,grid_id,train_test
261,E01000275,27030,19057,13.504,14.371,11,train
262,E01000276,33689,29949,4.061,13.428,11,train
263,E01000277,16548,17159,18.23,19.329,11,train
264,E01000278,33094,18536,5.525,21.104,11,train
265,E01000279,31287,14927,8.956,12.864,7,train
266,E01000280,33002,16602,3.958,15.478,11,train
267,E01000281,22630,15611,10.933,18.025,11,train
268,E01000282,26269,8429,8.582,21.335,11,train
269,E01000283,33622,29666,4.647,14.301,11,train
270,E01000284,16012,13460,15.477,17.659,11,train
271,E01000285,19901,28635,15.134,17.854,7,train
272,E01000286,12260,17832,23.897,23.41,7,train
273,E01000287,12162,18441,22.723,22.608,7,train
274,E01000288,21181,6262,13.041,21.62,11,train
275,E01000289,6120,15152,38.33,18.355,11,train
276,E01000290,15501,18960,19.937,13.391,7,train
277,E01000291,14521,29089,32.936,11.862,7,train
278,E01000292,24553,11304,11.315,18.462,7,train
279,E01000293,25879,4652,7.608,21.151,11,train
280,E01000294,18828,16152,12.242,12.621,7,train
281,E01000295,22747,5187,13.306,41.739,10,test
282,E01000296,16400,5257,12.11,23.002,10,test
283,E01000297,18747,5702,9.009,19.889,10,test
284,E01000298,16734,4898,11.827,27.123,10,test
285,E01000299,12857,7275,17.004,41.331,11,train
286,E01000300,22827,7968,12.253,21.835,11,train
287,E01000301,29247,14092,7.059,21.665,11,train
288,E01000302,12710,10126,15.595,18.501,11,train
289,E01000303,30965,16626,6.805,12.46,10,test
290,E01000304,21218,11745,13.531,23.302,10,test
291,E01000305,8458,10439,27.857,34.409,6,train
292,E01000306,12774,3978,14.045,31.348,6,train
293,E01000307,7793,4635,23.325,32.261,6,train
294,E01000308,13189,14641,31.832,31.921,6,train
295,E01000309,14804,6949,13.899,26.827,6,train
296,E01000310,7872,7832,19.223,28.117,6,train
297,E01000311,15318,2734,11.072,31.631,6,train
298,E01000312,8621,16440,24.927,21.426,6,train
299,E01000313,6925,3976,19.932,30.047,6,train
300,E01000314,15599,8042,10.677,25.473,6,train
301,E01000315,7642,11711,32.727,19.208,10,test
302,E01000316,12199,7975,19.874,30.861,10,test
303,E01000317,20390,8733,10.85,21.911,10,test
304,E01000318,22336,8924,14.711,25.854,11,train
305,E01000319,27228,8622,9.915,23.027,10,test
306,E01000320,23214,13334,8.719,19.714,11,train
307,E01000321,17664,8775,14.405,31.229,11,train
308,E01000322,16776,11681,14.866,28.924,11,train
309,E01000323,11509,7790,18.834,35.376,11,train
310,E01000324,21585,7917,13.755,21.96,11,train
311,E01000325,31750,19034,5.875,14.375,17,train
312,E01000326,23161,9301,11.973,26.995,17,train
313,E01000327,29019,15297,7.68,16.278,17,train
314,E01000328,26848,16011,11.404,13.589,17,train
315,E01000329,19997,15632,15.875,19.845,17,train
316,E01000330,18526,12576,17.867,31.997,17,train
317,E01000331,11694,18266,28.281,22.699,17,train
318,E01000332,21811,10969,16.091,25.33,17,train
319,E01000333,9142,10109,25.871,23.367,17,train
320,E01000334,21736,16227,12.987,13.728,17,train
321,E01000335,12975,15343,31.73,31.915,17,train
322,E01000336,7449,9977,31.362,27.661,17,train
323,E01000337,12671,10661,19.57,23.293,17,train
324,E01000338,15538,4967,18.89,31.707,17,train
325,E01000339,20993,17332,16.3,12.707,13,train
326,E01000340,27048,13941,12.831,28.127,13,train
327,E01000341,27874,16647,8.884,16.246,13,train
328,E01000342,27283,15281,8.918,24.005,13,train
329,E01000343,26845,11315,8.347,18.648,17,train
330,E01000344,28439,15410,6.105,13.015,13,train
331,E01000345,30937,17179,6.252,17.59,13,train
332,E01000346,28910,13286,9.662,24.63,17,train
333,E01000347,24850,11250,11.175,22.451,17,train
334,E01000348,33252,22445,4.979,14.633,17,train
335,E01000349,31870,13075,7.459,16.379,17,train
336,E01000350,31132,14376,7.89,20.794,17,train
337,E01000351,29881,15713,7.587,12.409,17,train
338,E01000352,19194,8261,14.763,23.87,17,train
339,E01000353,32481,20694,5.202,15.115,17,train
340,E01000354,18486,21502,21.316,21.561,17,train
341,E01000355,31700,22141,8.189,17.91,17,train
342,E01000356,28847,15673,7.94,14.394,17,train
343,E01000357,33250,30311,4.079,14.658,17,train
344,E01000358,30318,16329,6.15,16.626,17,train
345,E01000359,31748,19536,6.167,16.885,17,train
346,E01000360,13810,4632,18.65,32.745,17,train
347,E01000361,28098,16309,11.27,19.662,17,train
348,E01000362,20111,10112,12.63,21.256,17,train
349,E01000363,28836,12621,9.306,22.855,17,train
350,E01000364,28365,14382,12.692,25.496,17,train
351,E01000365,22334,12516,14.39,23.711,17,train
352,E01000366,25196,11979,9.865,18.271,17,train
353,E01000367,9830,20112,30.905,15.912,17,train
354,E01000368,8213,21658,33.932,16.009,17,train
355,E01000369,25518,22263,14.638,20.593,17,train
356,E01000370,24659,8715,11.364,17.969,17,train
357,E01000371,26901,20150,8.174,16.171,17,train
358,E01000372,9288,17007,29.915,21.727,17,train
359,E01000373,10354,21149,29.344,17.05,17,train
360,E01000374,6407,14955,42.38,30.276,17,train
361,E01000375,18718,15020,18.295,27.738,17,train
362,E01000376,21345,11990,16.232,27.96,17,train
363,E01000377,22831,11184,12.286,14.852,17,train
364,E01000379,15536,14160,18.601,28.683,17,train
365,E01000380,13073,22313,23.317,13.297,17,train
366,E01000381,11599,24041,27.812,22.274,17,train
367,E01000382,31644,17519,6.444,10.99,17,train
368,E01000383,18711,13183,21.082,17.296,17,train
369,E01000384,21267,5779,12.076,27.452,17,train
370,E01000385,9708,21006,32.32,19.851,17,train
371,E01000386,4284,11170,41.618,22.337,17,train
372,E01000387,27261,19451,12.348,11.659,17,train
373,E01000388,30147,17529,10.762,18.881,17,train
374,E01000389,25546,13854,11.233,14.27,17,train
375,E01000390,27479,13463,10.167,20.569,17,train
376,E01000391,22823,15969,13.901,24.914,17,train
377,E01000392,12352,7826,22.909,31.407,17,train
378,E01000393,27396,9060,9.166,30.198,17,train
379,E01000394,27514,14384,9.317,15.564,17,train
380,E01000395,32007,19754,5.03,17.388,13,train
381,E01000396,31313,15655,8.072,23.289,13,train
382,E01000398,16332,14874,20.001,20.399,13,train
383,E01000399,27365,13409,9.101,22.475,13,train
384,E01000400,21810,13116,14.705,27.399,17,train
385,E01000401,10910,8108,21.111,25.429,17,train
386,E01000402,12138,19174,23.537,20.091,17,train
387,E01000403,5964,14800,29.529,14.797,17,train
388,E01000404,6367,16920,30.082,17.527,17,train
389,E01000405,10432,16423,28.889,31.647,17,train
390,E01000406,14966,17056,23.276,25.805,17,train
391,E01000407,22707,9037,14.648,27.796,17,train
392,E01000408,8696,3443,23.784,29.548,17,train
393,E01000409,31106,20258,5.938,14.198,17,train
394,E01000410,29180,17296,7.496,18.793,13,train
395,E01000411,26878,17454,9.621,24.538,17,train
396,E01000412,25787,12419,8.605,19.754,13,train
397,E01000413,23728,9518,10.974,19.08,17,train
398,E01000414,17293,6532,13.631,29.738,17,train
399,E01000415,32490,20534,6.236,14.797,13,train
400,E01000416,11829,10423,25.261,15.171,17,train
401,E01000417,15041,4279,19.563,21.216,17,train
402,E01000418,17958,12860,18.667,22.374,17,train
403,E01000419,29648,20720,8.707,20.176,17,train
404,E01000420,24886,20633,11.155,14.547,17,train
405,E01000421,31634,24188,7.222,14.052,17,train
406,E01000422,8563,3456,35.949,11.804,17,train
407,E01000423,32796,18583,5.619,18.795,13,train
408,E01000424,28283,5589,6.789,29.816,17,train
409,E01000425,32889,27596,6.454,11.394,13,train
410,E01000426,25920,6406,10.343,29.847,13,train
411,E01000427,22567,16174,12.878,17.632,13,train
412,E01000428,11929,15682,23.903,17.261,17,train
413,E01000429,4149,17653,42.524,18.42,17,train
414,E01000430,15673,27443,16.489,8.52,17,train
415,E01000431,4439,17983,36.113,18.596,17,train
416,E01000433,3945,11601,35.521,19.367,17,train
417,E01000434,5490,22532,38.229,18.222,17,train
418,E01000435,9301,12264,31.181,19.646,17,train
419,E01000436,32315,22608,5.016,14.9,17,train
420,E01000437,24368,14108,13.671,16.685,17,train
421,E01000438,17977,8805,14.031,25.78,17,train
422,E01000439,9525,8763,23.787,28.788,17,train
423,E01000440,31013,24150,7.749,17.621,17,train
424,E01000441,6462,14532,29.024,16.815,17,train
425,E01000442,25803,14390,13.895,17.986,17,train
426,E01000443,19024,14529,18.208,23.621,17,train
427,E01000444,32469,20139,6.832,14.944,17,train
428,E01000445,30998,16109,5.791,12.192,17,train
429,E01000446,31326,19497,6.243,18.44,17,train
430,E01000447,23525,11524,10.353,23.184,17,train
431,E01000448,33301,16144,3.171,11.678,17,train
432,E01000449,32719,13970,5.445,13.959,17,train
433,E01000450,17947,22013,18.048,15.171,17,train
434,E01000451,29408,17743,7.498,20.03,17,train
435,E01000452,30971,18788,7.478,20.561,17,train
436,E01000453,29668,24458,8.045,20.351,17,train
437,E01000454,17008,11275,18.58,22.02,17,train
438,E01000455,29793,20450,8.188,20.012,17,train
439,E01000456,31709,27147,6.115,18.498,17,train
440,E01000457,20745,11221,12.09,19.804,17,train
441,E01000458,31722,17542,5.631,11.176,17,train
442,E01000459,20044,16348,14.438,13.645,17,train
443,E01000460,32849,18707,5.115,8.031,17,train
444,E01000461,31898,15012,7.086,13.09,17,train
445,E01000462,22602,12523,14.326,32.556,17,train
446,E01000463,31099,18534,5.128,16.249,13,train
447,E01000464,9485,16009,25.484,11.461,17,train
448,E01000465,7701,13718,28.674,10.067,17,train
449,E01000466,9426,11548,23.424,9.394,17,train
450,E01000467,11678,21134,18.552,14.221,17,train
451,E01000468,13855,28569,20.855,9.245,18,train
452,E01000469,13692,18035,19.895,13.773,17,train
453,E01000470,4590,4333,38.345,12.145,17,train
454,E01000471,12806,10598,21.524,24.382,6,train
455,E01000472,10784,13170,22.928,41.409,6,train
456,E01000473,7237,12010,25.222,29.84,6,train
457,E01000474,10359,9893,21.758,20.327,6,train
458,E01000475,9882,8920,21.12,23.986,6,train
459,E01000476,11152,12356,19.67,29.632,6,train
460,E01000477,4734,11400,23.491,29.429,6,train
461,E01000478,9209,13185,23.721,38.057,6,train
462,E01000479,17040,12309,15.83,24.661,6,train
463,E01000480,18864,10474,11.775,24.978,6,train
464,E01000481,7371,8905,27.74,30.802,6,train
465,E01000483,3583,9478,33.513,24.973,6,train
466,E01000484,7717,20252,38.614,28.134,6,train
467,E01000485,10549,14117,29.651,15.022,6,train
468,E01000486,17267,16872,15.555,18.492,6,train
469,E01000487,11048,11698,17.634,21.233,6,train
470,E01000488,12746,6211,24.308,26.912,6,train
471,E01000489,14355,6615,23.257,27.71,6,train
472,E01000490,10525,4357,24.206,29.383,6,train
473,E01000491,14787,11150,21.226,22.605,6,train
474,E01000492,18107,7982,13.405,28.893,6,train
475,E01000493,20299,6733,12.31,29.578,6,train
476,E01000494,12795,10613,19.535,21.981,6,train
477,E01000495,7854,7994,32.579,24.258,6,train
478,E01000497,6927,11686,23.67,20.737,6,train
479,E01000498,1933,11791,32.538,30.555,6,train
480,E01000499,2823,12575,27.131,27.8,6,train
481,E01000501,5012,15629,35.651,21.398,6,train
482,E01000502,5431,17847,28.682,21.734,6,train
483,E01000503,5493,13283,28.578,24.95,6,train
484,E01000504,11117,9129,21.374,26.783,6,train
485,E01000505,12513,18571,20.325,20.222,6,train
486,E01000506,3392,8054,30.431,39.711,6,train
487,E01000507,11060,8430,22.007,20.392,6,train
488,E01000508,3133,8141,37.833,29.572,6,train
489,E01000509,2207,9502,34.158,33.741,6,train
490,E01000510,1482,3596,30.111,34.818,6,train
491,E01000511,4419,7424,31.007,40.547,6,train
492,E01000512,10867,4401,18.91,37.022,6,train
493,E01000513,12703,5847,15.506,31.8,6,train
494,E01000514,14186,14217,14.626,25.027,6,train
495,E01000515,7343,12033,27.517,20.381,6,train
496,E01000516,13265,9810,19.417,31.57,6,train
497,E01000517,17692,9128,13.553,27.484,6,train
498,E01000518,13012,11659,25.937,26.451,6,train
499,E01000519,8909,8693,20.361,20.86,6,train
500,E01000520,9522,8331,20.597,22.902,6,train
501,E01000521,721,3130,53.09,45.317,6,train
502,E01000522,5134,13284,31.433,26.233,6,train
503,E01000523,2961,4118,31.722,37.672,6,train
504,E01000524,799,3499,44.228,39.002,6,train
505,E01000525,3505,2459,33.636,32.613,6,train
506,E01000526,1995,12275,42.123,21.138,6,train
507,E01000527,1822,6533,34.204,33.063,6,train
508,E01000528,3308,11387,46.028,31.242,6,train
509,E01000530,18923,7727,15.596,31.865,6,train
510,E01000531,6884,5485,25.279,33.291,6,train
511,E01000532,11306,4177,22.1,29.998,6,train
512,E01000533,1629,5402,38.611,35.33,6,train
513,E01000534,16063,7463,19.424,30.705,6,train
514,E01000535,6850,4305,29.612,51.473,6,train
515,E01000536,21873,7927,11.259,19.343,6,train
516,E01000538,26737,18945,9.585,25.276,6,train
517,E01000539,21521,7272,9.401,21.587,6,train
518,E01000540,26236,10072,10.46,18.935,6,train
519,E01000541,13884,7311,14.775,22.356,6,train
520,E01000543,14300,7451,21.407,26.136,6,train
521,E01000544,8415,14151,33.576,29.337,10,test
522,E01000545,5922,3260,30.368,39.175,10,test
523,E01000546,7206,3058,22.321,26.34,10,test
524,E01000547,13825,6232,22.673,30.272,10,test
525,E01000548,5926,6851,32.72,31.415,10,test
526,E01000549,17338,8128,17.113,31.185,10,test
527,E01000550,6438,9943,34.612,31.66,10,test
528,E01000551,7611,13329,41.111,24.564,10,test
529,E01000552,9483,12484,43.404,46.328,10,test
530,E01000553,5668,6760,29.062,32.336,6,train
531,E01000554,9835,12746,21.039,27.362,6,train
532,E01000555,13555,9580,15.947,27.52,6,train
533,E01000556,3978,2005,32.007,46.48,6,train
534,E01000557,7634,5621,23.465,26.954,6,train
535,E01000558,8576,3454,26.806,27.73,6,train
536,E01000559,11535,5874,22.118,28.022,6,train
537,E01000560,12165,2627,19.077,27.141,6,train
538,E01000561,10854,8283,24.708,22.412,6,train
539,E01000562,22649,10498,10.862,19.805,6,train
540,E01000563,26295,13601,9.588,21.523,6,train
541,E01000564,10455,6841,17.31,21.453,6,train
542,E01000565,10327,10002,23.892,20.612,6,train
543,E01000566,18128,14176,14.793,22.288,6,train
544,E01000567,12830,14871,18.175,21.54,6,train
545,E01000568,22102,14962,14.257,21.768,6,train
546,E01000569,24102,18251,9.462,16.742,6,train
547,E01000570,9218,12493,24.088,20.912,6,train
548,E01000571,12761,11756,22.247,27.757,6,train
549,E01000572,17443,11859,12.26,16.933,6,train
550,E01000573,15601,11679,13.432,22.652,6,train
551,E01000574,16344,12949,10.723,21.892,6,train
552,E01000575,13300,10231,17.369,34.881,6,train
553,E01000576,13923,7502,16.509,25.567,6,train
554,E01000577,6283,16807,32.606,33.745,6,train
555,E01000578,7504,11541,28.89,23.6,6,train
